Staff ID,Years of Experience,Absenteeism (Days),Satisfaction Score,Job_ID,Job_Location,Distance_km,Travel_Cost,Skill_Match,Job_Priority,Cost_per_Hour,Job_Hours,Labour_Cost,Total_Cost
S00319,10,1,3.19,J0319,Manchester,65,29.25,0.64,2,33,4,132,161.25
S00320,18,0,2.73,J0320,Newcastle,202,90.9,0.52,5,44,4,176,266.9
S00321,9,3,1.18,J0321,Sheffield,299,134.55,0.52,1,44,5,220,354.55
S00322,15,2,1.66,J0322,Manchester,15,6.75,0.64,3,27,5,135,141.75
S00323,4,0,2.78,J0323,Glasgow,66,29.7,0.64,3,27,4,108,137.7
S00324,8,0,1.84,J0324,Manchester,230,103.5,0.89,1,31,10,310,413.5
S00325,9,1,1.2,J0325,Glasgow,157,70.65,0.99,3,20,11,220,290.65
S00326,13,3,4.37,J0326,London,203,91.35,0.69,4,30,8,240,331.35
S00327,9,2,4.92,J0327,Nottingham,56,25.2,0.71,5,27,5,135,160.2
S00328,4,3,4.17,J0328,London,264,118.8,0.92,5,29,9,261,379.8
S00329,17,1,4.42,J0329,Bristol,63,28.35,0.63,1,38,6,228,256.35
S00330,16,4,1.97,J0330,Newcastle,76,34.2,0.58,3,30,7,210,244.2
S00331,15,0,4.84,J0331,Sheffield,152,68.4,0.93,2,26,4,104,172.4
S00332,3,2,1.79,J0332,Glasgow,67,30.15,0.52,2,30,4,120,150.15
S00333,5,4,4.81,J0333,Sheffield,247,111.15,0.81,3,36,7,252,363.15
S00334,5,1,4.98,J0334,Glasgow,111,49.95,0.78,2,20,8,160,209.95
S00335,15,3,3.85,J0335,Birmingham,230,103.5,0.67,1,40,7,280,383.5
S00336,18,0,4.92,J0336,Manchester,222,99.9,0.66,1,40,5,200,299.9
S00337,15,2,3.28,J0337,Bristol,245,110.25,0.89,3,27,7,189,299.25
S00338,2,4,2.04,J0338,Nottingham,263,118.35,0.54,2,42,4,168,286.35
S00339,13,4,2.75,J0339,Glasgow,266,119.7,0.62,1,43,7,301,420.7
S00340,4,0,3.37,J0340,Sheffield,9,4.05,0.87,1,25,6,150,154.05
S00341,10,3,1.29,J0341,Bristol,265,119.25,0.77,4,41,9,369,488.25
S00342,13,1,3.49,J0342,Leeds,58,26.1,0.56,4,37,5,185,211.1
S00343,10,3,4.92,J0343,Leeds,51,22.95,0.94,1,25,7,175,197.95
S00344,9,3,1.76,J0344,London,219,98.55,0.7,3,24,4,96,194.55
S00345,8,3,4.17,J0345,Nottingham,181,81.45,0.91,5,32,10,320,401.45
S00346,3,0,4.63,J0346,Birmingham,13,5.85,0.89,5,38,9,342,347.85
S00347,16,0,4.77,J0347,Sheffield,103,46.35,0.81,1,41,5,205,251.35
S00348,14,1,4.84,J0348,Manchester,24,10.8,0.75,1,27,4,108,118.8
S00349,9,3,3.09,J0349,Manchester,245,110.25,0.99,1,28,8,224,334.25
S00350,11,0,4.91,J0350,Sheffield,65,29.25,0.57,3,36,6,216,245.25
S00351,3,1,4.03,J0351,Newcastle,182,81.9,0.86,4,22,11,242,323.9
S00352,5,1,1.65,J0352,Birmingham,66,29.7,0.6,1,38,8,304,333.7
S00353,10,3,2.91,J0353,Bristol,149,67.05,0.67,1,30,11,330,397.05
S00354,13,2,3.87,J0354,Glasgow,220,99.0,0.65,2,43,6,258,357.0
S00355,4,3,1.99,J0355,Newcastle,7,3.15,0.97,3,36,7,252,255.15
S00356,13,2,3.56,J0356,Glasgow,164,73.8,0.98,1,40,5,200,273.8
S00357,12,1,3.67,J0357,Glasgow,231,103.95,0.59,2,38,7,266,369.95
S00358,5,0,1.65,J0358,Newcastle,273,122.85,0.51,5,21,6,126,248.85
S00359,10,4,3.26,J0359,London,124,55.8,0.86,1,27,6,162,217.8
S00360,9,1,4.09,J0360,Leeds,93,41.85,0.71,1,38,6,228,269.85
S00361,7,0,3.0,J0361,Glasgow,72,32.4,0.54,2,26,11,286,318.4
S00362,2,1,1.05,J0362,Newcastle,102,45.9,0.84,3,36,9,324,369.9
S00363,7,3,1.04,J0363,Newcastle,271,121.95,0.77,1,25,4,100,221.95
S00364,8,2,2.43,J0364,Liverpool,109,49.05,0.99,5,38,5,190,239.05
S00365,7,1,4.7,J0365,London,127,57.15,0.61,1,43,7,301,358.15
S00366,14,0,1.91,J0366,Nottingham,33,14.85,0.7,5,25,7,175,189.85
S00367,19,3,3.54,J0367,Liverpool,141,63.45,0.77,4,21,8,168,231.45
S00368,5,4,1.89,J0368,Liverpool,199,89.55,0.9,4,25,11,275,364.55
S00369,18,3,2.29,J0369,Sheffield,230,103.5,0.77,5,42,6,252,355.5
S00370,12,2,4.39,J0370,Leeds,174,78.3,0.81,3,24,10,240,318.3
S00371,17,3,3.92,J0371,Newcastle,13,5.85,0.61,1,38,6,228,233.85
S00372,13,4,1.38,J0372,Leeds,44,19.8,0.92,1,39,6,234,253.8
S00373,2,0,2.71,J0373,Birmingham,29,13.05,0.71,4,23,10,230,243.05
S00374,13,1,1.12,J0374,Sheffield,265,119.25,0.57,5,41,7,287,406.25
S00375,7,2,2.92,J0375,Nottingham,230,103.5,0.83,1,36,8,288,391.5
S00376,10,4,3.65,J0376,Leeds,128,57.6,0.61,1,30,4,120,177.6
S00377,6,2,1.47,J0377,Manchester,42,18.9,0.55,3,23,10,230,248.9
S00378,3,3,2.16,J0378,Glasgow,255,114.75,0.93,2,32,11,352,466.75
S00379,3,2,2.59,J0379,Birmingham,180,81.0,0.73,4,39,9,351,432.0
S00380,18,4,4.68,J0380,London,94,42.3,0.87,4,36,5,180,222.3
S00381,11,1,4.97,J0381,Nottingham,41,18.45,0.65,2,28,11,308,326.45
S00382,5,1,1.18,J0382,Birmingham,180,81.0,0.89,1,23,10,230,311.0
S00383,19,2,4.04,J0383,Glasgow,288,129.6,0.56,3,42,4,168,297.6
S00384,19,0,2.49,J0384,Sheffield,85,38.25,0.68,3,33,7,231,269.25
S00385,15,2,2.57,J0385,Glasgow,118,53.1,0.99,4,38,9,342,395.1
S00386,16,3,4.02,J0386,Liverpool,44,19.8,0.9,3,22,9,198,217.8
S00387,9,1,4.67,J0387,Glasgow,228,102.6,0.75,2,33,9,297,399.6
S00388,4,1,4.8,J0388,Liverpool,119,53.55,0.67,1,27,6,162,215.55
S00389,15,1,3.31,J0389,Sheffield,190,85.5,0.94,2,43,5,215,300.5
S00390,12,0,2.43,J0390,Bristol,60,27.0,0.77,5,20,7,140,167.0
S00391,3,0,4.15,J0391,Liverpool,44,19.8,0.88,4,29,7,203,222.8
S00392,14,4,2.0,J0392,London,44,19.8,0.88,3,37,9,333,352.8
S00393,17,2,3.26,J0393,Glasgow,241,108.45,0.51,5,35,7,245,353.45
S00394,19,2,2.43,J0394,Glasgow,293,131.85,0.56,3,27,5,135,266.85
S00395,6,3,3.63,J0395,London,266,119.7,0.83,1,20,5,100,219.7
S00396,4,1,1.96,J0396,Manchester,220,99.0,0.58,1,31,8,248,347.0
S00397,7,0,1.77,J0397,Newcastle,151,67.95,0.63,1,27,10,270,337.95
S00398,19,3,4.67,J0398,Bristol,172,77.4,0.97,3,43,10,430,507.4
S00399,17,3,1.41,J0399,Nottingham,96,43.2,0.78,5,35,8,280,323.2
S00400,16,0,3.02,J0400,Liverpool,63,28.35,0.88,1,37,4,148,176.35
S00401,15,2,1.88,J0401,London,63,28.35,0.78,5,23,10,230,258.35
S00402,8,1,1.16,J0402,Sheffield,173,77.85,0.78,3,25,5,125,202.85
S00403,19,2,1.14,J0403,Liverpool,273,122.85,0.55,5,31,5,155,277.85
S00404,8,3,1.7,J0404,Newcastle,49,22.05,0.67,3,28,10,280,302.05
S00405,18,1,4.47,J0405,Sheffield,185,83.25,0.64,3,34,5,170,253.25
S00406,16,4,2.13,J0406,Birmingham,174,78.3,0.7,4,35,8,280,358.3
S00407,19,3,4.8,J0407,Glasgow,195,87.75,0.9,3,43,9,387,474.75
S00408,10,2,3.33,J0408,Birmingham,159,71.55,0.69,3,31,9,279,350.55
S00409,17,2,2.75,J0409,Liverpool,192,86.4,0.73,2,43,7,301,387.4
S00410,13,2,3.32,J0410,Newcastle,11,4.95,0.7,1,42,11,462,466.95
S00411,13,0,3.07,J0411,Bristol,137,61.65,0.55,4,33,11,363,424.65
S00412,7,3,4.04,J0412,Liverpool,239,107.55,0.72,4,32,9,288,395.55
S00413,10,1,2.13,J0413,London,49,22.05,0.6,4,44,6,264,286.05
S00414,2,2,2.41,J0414,Leeds,253,113.85,0.59,2,21,8,168,281.85
S00415,4,2,4.58,J0415,Liverpool,35,15.75,0.55,3,22,5,110,125.75
S00416,6,0,4.79,J0416,Glasgow,27,12.15,0.68,1,43,10,430,442.15
S00417,18,1,4.57,J0417,Glasgow,164,73.8,0.88,5,41,9,369,442.8
S00418,6,3,2.68,J0418,Liverpool,162,72.9,0.64,3,29,8,232,304.9
S00419,17,4,4.12,J0419,Sheffield,43,19.35,0.66,2,28,9,252,271.35
S00420,14,0,2.91,J0420,Leeds,86,38.7,0.82,3,39,4,156,194.7
S00421,11,3,2.99,J0421,London,262,117.9,0.6,3,27,5,135,252.9
S00422,19,4,1.82,J0422,Liverpool,210,94.5,0.95,2,29,4,116,210.5
S00423,2,2,3.36,J0423,Sheffield,81,36.45,0.76,4,38,5,190,226.45
S00424,3,2,1.74,J0424,Glasgow,16,7.2,0.72,4,22,8,176,183.2
S00425,11,1,2.33,J0425,Glasgow,299,134.55,0.78,1,43,7,301,435.55
S00426,6,4,4.42,J0426,Newcastle,228,102.6,0.58,1,24,9,216,318.6
S00427,14,2,1.83,J0427,Liverpool,17,7.65,0.81,4,22,9,198,205.65
S00428,19,2,1.28,J0428,Leeds,50,22.5,0.68,5,35,6,210,232.5
S00429,16,1,1.28,J0429,Manchester,159,71.55,0.95,3,36,10,360,431.55
S00430,7,3,4.76,J0430,Leeds,117,52.65,0.58,5,34,4,136,188.65
S00431,8,2,3.03,J0431,Glasgow,237,106.65,0.75,3,22,9,198,304.65
S00432,19,0,2.64,J0432,Glasgow,21,9.45,0.8,4,31,8,248,257.45
S00433,16,0,4.24,J0433,Birmingham,227,102.15,0.52,1,28,7,196,298.15
S00434,7,3,4.34,J0434,Glasgow,192,86.4,0.68,1,40,10,400,486.4
S00435,9,4,2.33,J0435,London,167,75.15,0.87,5,31,8,248,323.15
S00436,13,1,3.77,J0436,Nottingham,78,35.1,0.91,1,34,4,136,171.1
S00437,1,0,4.08,J0437,Liverpool,237,106.65,0.66,4,21,6,126,232.65
S00438,8,0,3.62,J0438,Leeds,228,102.6,0.9,5,42,9,378,480.6
S00439,4,3,1.61,J0439,Nottingham,64,28.8,0.98,3,37,8,296,324.8
S00440,3,4,4.5,J0440,Sheffield,226,101.7,0.93,1,39,10,390,491.7
S00441,3,4,3.16,J0441,Manchester,41,18.45,0.56,2,31,5,155,173.45
S00442,13,3,2.13,J0442,London,282,126.9,0.87,1,42,7,294,420.9
S00443,8,0,2.7,J0443,Leeds,200,90.0,0.66,3,23,10,230,320.0
S00444,7,1,1.15,J0444,Nottingham,246,110.7,0.99,5,42,8,336,446.7
S00445,1,0,1.51,J0445,Manchester,223,100.35,0.74,3,35,7,245,345.35
S00446,16,4,4.06,J0446,Birmingham,196,88.2,0.56,2,42,9,378,466.2
S00447,6,0,1.0,J0447,London,21,9.45,0.86,4,35,5,175,184.45
S00448,7,1,2.67,J0448,London,16,7.2,0.66,1,20,6,120,127.2
S00449,12,2,3.09,J0449,Birmingham,197,88.65,1.0,5,41,10,410,498.65
S00450,9,0,1.22,J0450,Liverpool,26,11.7,0.99,4,44,6,264,275.7
S00451,11,3,4.89,J0451,Birmingham,124,55.8,0.83,3,21,5,105,160.8
S00452,10,2,1.9,J0452,London,214,96.3,0.56,5,22,7,154,250.3
S00453,1,3,2.22,J0453,London,274,123.3,0.84,4,40,9,360,483.3
S00454,18,3,2.22,J0454,Nottingham,196,88.2,0.55,5,44,8,352,440.2
S00455,4,3,1.92,J0455,Glasgow,179,80.55,0.51,2,39,5,195,275.55
S00456,5,0,1.01,J0456,Manchester,289,130.05,0.91,2,36,4,144,274.05
S00457,9,4,3.92,J0457,Birmingham,208,93.6,0.6,1,39,7,273,366.6
S00458,17,2,4.87,J0458,Manchester,168,75.6,0.69,1,41,6,246,321.6
S00459,3,1,1.9,J0459,Birmingham,255,114.75,0.99,2,40,10,400,514.75
S00460,16,4,3.65,J0460,Sheffield,231,103.95,0.67,5,20,5,100,203.95
S00461,5,0,3.97,J0461,London,11,4.95,0.65,2,39,6,234,238.95
S00462,16,3,4.39,J0462,Glasgow,33,14.85,0.96,1,25,7,175,189.85
S00463,3,1,2.69,J0463,Nottingham,37,16.65,0.56,2,34,6,204,220.65
S00464,15,2,2.21,J0464,Glasgow,138,62.1,0.88,2,33,5,165,227.1
S00465,3,4,2.3,J0465,Glasgow,83,37.35,0.99,5,39,7,273,310.35
S00466,14,4,3.85,J0466,Glasgow,62,27.9,0.95,4,34,4,136,163.9
S00467,16,1,4.27,J0467,Manchester,30,13.5,0.83,1,33,5,165,178.5
S00468,17,0,1.73,J0468,Birmingham,230,103.5,0.66,5,44,8,352,455.5
S00469,18,2,2.48,J0469,Bristol,289,130.05,0.63,2,40,11,440,570.05
S00470,18,1,4.61,J0470,Sheffield,8,3.6,0.91,2,43,9,387,390.6
S00471,14,3,4.23,J0471,Leeds,103,46.35,0.94,4,44,5,220,266.35
S00472,18,2,4.94,J0472,Glasgow,43,19.35,0.76,1,24,7,168,187.35
S00473,15,4,4.02,J0473,Liverpool,275,123.75,0.62,1,25,10,250,373.75
S00474,15,1,2.57,J0474,Manchester,289,130.05,0.56,3,36,9,324,454.05
S00475,6,4,3.36,J0475,Nottingham,161,72.45,0.54,1,30,5,150,222.45
S00476,15,4,3.64,J0476,Leeds,79,35.55,0.86,4,35,4,140,175.55
S00477,18,4,1.31,J0477,Bristol,292,131.4,0.71,3,31,10,310,441.4
S00478,4,0,3.18,J0478,Liverpool,134,60.3,0.95,3,34,4,136,196.3
S00479,8,4,3.84,J0479,Bristol,179,80.55,0.87,2,42,8,336,416.55
S00480,15,3,1.67,J0480,Leeds,88,39.6,0.6,2,23,10,230,269.6
S00481,3,3,4.12,J0481,Glasgow,26,11.7,0.81,1,37,6,222,233.7
S00482,15,2,3.34,J0482,Liverpool,31,13.95,0.72,3,40,11,440,453.95
S00483,13,4,4.81,J0483,Bristol,199,89.55,0.79,2,22,10,220,309.55
S00484,9,4,1.17,J0484,Nottingham,240,108.0,0.87,4,41,9,369,477.0
S00485,2,1,2.06,J0485,Birmingham,96,43.2,0.9,2,27,10,270,313.2
S00486,8,0,3.41,J0486,London,25,11.25,0.92,2,42,7,294,305.25
S00487,17,2,2.19,J0487,Birmingham,88,39.6,0.63,3,22,11,242,281.6
S00488,13,4,3.86,J0488,Leeds,266,119.7,0.52,3,27,7,189,308.7
S00489,1,1,4.04,J0489,Manchester,151,67.95,0.87,5,37,6,222,289.95
S00490,2,0,1.41,J0490,London,261,117.45,0.55,4,29,10,290,407.45
S00491,15,2,3.06,J0491,Sheffield,62,27.9,0.66,3,44,4,176,203.9
S00492,12,2,3.04,J0492,Nottingham,19,8.55,0.5,1,39,4,156,164.55
S00493,14,4,2.48,J0493,Sheffield,166,74.7,0.84,4,36,5,180,254.7
S00494,2,2,4.73,J0494,Liverpool,167,75.15,0.58,4,27,8,216,291.15
S00495,18,1,4.31,J0495,London,285,128.25,0.83,3,42,9,378,506.25
S00496,7,2,3.79,J0496,Sheffield,284,127.8,1.0,4,30,11,330,457.8
S00497,6,3,3.86,J0497,Sheffield,16,7.2,0.54,3,24,8,192,199.2
S00498,14,1,2.85,J0498,Bristol,278,125.1,0.54,2,32,10,320,445.1
S00499,8,0,4.68,J0499,Birmingham,275,123.75,0.67,5,40,8,320,443.75
S00500,2,0,3.78,J0500,Bristol,212,95.4,0.93,2,42,5,210,305.4
S00501,17,4,3.92,J0501,London,31,13.95,0.61,3,24,8,192,205.95
S00502,5,4,4.45,J0502,London,76,34.2,0.68,3,43,11,473,507.2
S00503,14,3,2.1,J0503,Leeds,64,28.8,0.53,2,32,6,192,220.8
S00504,3,0,4.23,J0504,Bristol,149,67.05,0.88,1,25,5,125,192.05
S00505,5,0,1.78,J0505,Newcastle,97,43.65,0.7,1,24,6,144,187.65
S00506,16,0,2.38,J0506,Birmingham,12,5.4,0.88,1,28,10,280,285.4
S00507,18,0,2.34,J0507,London,83,37.35,0.95,3,35,5,175,212.35
S00508,17,2,4.91,J0508,Leeds,31,13.95,0.62,4,21,10,210,223.95
S00509,11,1,4.43,J0509,Bristol,178,80.1,0.9,3,20,10,200,280.1
S00510,17,1,3.8,J0510,Birmingham,54,24.3,0.53,4,27,8,216,240.3
S00511,16,3,3.91,J0511,Bristol,203,91.35,0.95,2,38,6,228,319.35
S00512,2,2,3.25,J0512,Sheffield,185,83.25,0.83,5,30,10,300,383.25
S00513,4,0,4.79,J0513,Leeds,28,12.6,0.94,4,31,6,186,198.6
S00514,7,0,2.99,J0514,Birmingham,50,22.5,0.5,1,31,6,186,208.5
S00515,2,4,2.52,J0515,Glasgow,19,8.55,0.58,3,26,5,130,138.55
S00516,6,4,1.65,J0516,Liverpool,157,70.65,0.69,2,32,7,224,294.65
S00517,17,3,4.14,J0517,Liverpool,226,101.7,0.69,1,27,8,216,317.7
S00518,7,0,3.94,J0518,Birmingham,210,94.5,0.61,2,41,10,410,504.5
S00519,5,3,2.54,J0519,Bristol,277,124.65,0.69,5,28,6,168,292.65
S00520,5,2,1.1,J0520,Leeds,240,108.0,0.56,3,26,9,234,342.0
S00521,16,1,4.36,J0521,Liverpool,232,104.4,0.71,3,40,7,280,384.4
S00522,19,0,1.05,J0522,Leeds,13,5.85,0.9,5,43,10,430,435.85
S00523,9,2,3.81,J0523,Liverpool,170,76.5,0.74,3,34,9,306,382.5
S00524,5,0,4.88,J0524,Sheffield,218,98.1,0.51,4,21,8,168,266.1
S00525,8,4,2.75,J0525,Bristol,121,54.45,0.71,2,42,8,336,390.45
S00526,9,3,1.94,J0526,Sheffield,76,34.2,0.51,1,39,6,234,268.2
S00527,5,4,3.82,J0527,Liverpool,68,30.6,0.98,5,44,6,264,294.6
S00528,10,1,4.27,J0528,Glasgow,209,94.05,0.56,4,31,11,341,435.05
S00529,2,4,3.19,J0529,Glasgow,213,95.85,0.85,1,20,11,220,315.85
S00530,9,0,4.87,J0530,Sheffield,76,34.2,0.99,1,42,10,420,454.2
S00531,11,4,1.21,J0531,Glasgow,281,126.45,0.91,5,41,5,205,331.45
S00532,4,0,3.02,J0532,Liverpool,278,125.1,0.85,4,27,7,189,314.1
S00533,2,1,3.87,J0533,Birmingham,99,44.55,0.92,1,24,10,240,284.55
S00534,6,4,4.45,J0534,Sheffield,170,76.5,0.99,1,34,7,238,314.5
S00535,14,3,1.72,J0535,Manchester,36,16.2,0.81,4,20,6,120,136.2
S00536,1,3,4.2,J0536,Bristol,15,6.75,0.78,3,20,8,160,166.75
S00537,18,3,3.21,J0537,Glasgow,221,99.45,0.81,1,44,6,264,363.45
S00538,7,4,2.59,J0538,Glasgow,293,131.85,0.77,2,29,8,232,363.85
S00539,1,4,1.53,J0539,London,106,47.7,0.82,4,41,11,451,498.7
S00540,1,4,4.46,J0540,Newcastle,271,121.95,0.72,1,29,10,290,411.95
S00541,1,0,1.63,J0541,Sheffield,218,98.1,0.61,5,40,11,440,538.1
S00542,4,1,2.24,J0542,Nottingham,183,82.35,0.56,2,34,8,272,354.35
S00543,4,3,2.16,J0543,Glasgow,92,41.4,0.53,1,36,6,216,257.4
S00544,18,0,4.49,J0544,Bristol,45,20.25,0.63,2,41,11,451,471.25
S00545,11,3,3.69,J0545,Manchester,80,36.0,0.52,2,25,4,100,136.0
S00546,1,0,4.19,J0546,Glasgow,50,22.5,0.78,3,22,7,154,176.5
S00547,10,4,2.0,J0547,Manchester,164,73.8,0.64,2,32,9,288,361.8
S00548,9,3,3.5,J0548,Liverpool,84,37.8,0.91,3,35,8,280,317.8
S00549,4,4,3.29,J0549,Liverpool,90,40.5,0.54,4,27,8,216,256.5
S00550,6,3,4.33,J0550,Newcastle,96,43.2,0.61,3,34,4,136,179.2
S00551,16,2,4.62,J0551,Birmingham,152,68.4,0.87,5,36,10,360,428.4
S00552,2,0,1.05,J0552,Nottingham,165,74.25,0.8,1,36,10,360,434.25
S00553,18,2,3.7,J0553,London,206,92.7,0.53,4,41,10,410,502.7
S00554,10,0,1.21,J0554,Newcastle,246,110.7,0.94,4,32,9,288,398.7
S00555,17,1,3.2,J0555,Leeds,6,2.7,0.94,5,36,5,180,182.7
S00556,13,3,2.15,J0556,London,229,103.05,0.67,3,25,4,100,203.05
S00557,18,1,2.23,J0557,Sheffield,293,131.85,0.67,1,36,9,324,455.85
S00558,13,1,2.41,J0558,Bristol,237,106.65,0.99,3,35,11,385,491.65
S00559,17,0,3.49,J0559,Leeds,81,36.45,0.81,2,33,4,132,168.45
S00560,5,2,2.34,J0560,Leeds,120,54.0,0.77,3,32,8,256,310.0
S00561,11,4,3.93,J0561,Newcastle,158,71.1,0.92,4,25,7,175,246.1
S00562,7,0,2.62,J0562,Birmingham,107,48.15,0.64,1,22,4,88,136.15
S00563,10,4,1.27,J0563,Newcastle,198,89.1,0.71,3,33,5,165,254.1
S00564,17,1,4.14,J0564,Sheffield,170,76.5,0.63,1,33,6,198,274.5
S00565,15,4,2.14,J0565,Glasgow,94,42.3,0.89,1,34,11,374,416.3
S00566,18,2,2.73,J0566,Glasgow,178,80.1,0.79,2,27,9,243,323.1
S00567,19,0,3.74,J0567,Birmingham,126,56.7,0.83,2,34,11,374,430.7
S00568,2,2,2.33,J0568,Sheffield,147,66.15,0.63,4,41,11,451,517.15
S00569,4,2,1.23,J0569,Birmingham,110,49.5,0.61,5,32,4,128,177.5
S00570,3,0,2.5,J0570,Manchester,127,57.15,0.74,1,36,4,144,201.15
S00571,7,2,4.78,J0571,Glasgow,13,5.85,0.87,5,40,5,200,205.85
S00572,18,3,3.57,J0572,Leeds,266,119.7,0.76,4,43,7,301,420.7
S00573,10,3,3.69,J0573,Nottingham,77,34.65,0.52,1,22,4,88,122.65
S00574,7,3,3.53,J0574,Bristol,227,102.15,0.93,1,25,4,100,202.15
S00575,8,4,1.8,J0575,Sheffield,45,20.25,0.53,5,24,7,168,188.25
S00576,6,2,2.67,J0576,London,208,93.6,0.98,3,41,5,205,298.6
S00577,1,0,4.0,J0577,Birmingham,268,120.6,0.51,2,36,9,324,444.6
S00578,4,0,1.41,J0578,Bristol,182,81.9,0.85,3,42,11,462,543.9
S00579,14,4,2.11,J0579,London,88,39.6,0.54,5,44,9,396,435.6
S00580,17,0,2.11,J0580,Bristol,115,51.75,0.96,2,21,4,84,135.75
S00581,18,3,2.73,J0581,Nottingham,255,114.75,0.73,3,34,7,238,352.75
S00582,11,2,4.92,J0582,London,11,4.95,0.57,2,24,4,96,100.95
S00583,14,0,1.27,J0583,Newcastle,88,39.6,0.67,1,39,10,390,429.6
S00584,9,0,3.07,J0584,Liverpool,212,95.4,0.58,3,25,6,150,245.4
S00585,15,1,1.72,J0585,Newcastle,26,11.7,0.59,2,25,9,225,236.7
S00586,12,1,4.88,J0586,Glasgow,7,3.15,0.97,2,37,10,370,373.15
S00587,10,1,1.45,J0587,Liverpool,131,58.95,0.72,2,37,8,296,354.95
S00588,19,2,2.61,J0588,Newcastle,192,86.4,0.89,3,23,6,138,224.4
S00589,19,3,3.95,J0589,Liverpool,18,8.1,0.82,4,36,4,144,152.1
S00590,6,3,3.82,J0590,Liverpool,16,7.2,0.84,3,44,5,220,227.2
S00591,6,3,2.69,J0591,Leeds,91,40.95,0.57,5,33,9,297,337.95
S00592,8,2,2.39,J0592,Birmingham,16,7.2,0.62,3,33,8,264,271.2
S00593,1,2,2.59,J0593,Birmingham,29,13.05,0.89,2,32,6,192,205.05
S00594,17,1,2.06,J0594,Leeds,247,111.15,0.99,1,26,9,234,345.15
S00595,17,0,1.82,J0595,Bristol,126,56.7,0.63,3,31,7,217,273.7
S00596,15,4,2.93,J0596,Manchester,151,67.95,0.64,3,42,5,210,277.95
S00597,7,4,2.07,J0597,Bristol,59,26.55,0.74,2,34,6,204,230.55
S00598,19,0,2.15,J0598,London,242,108.9,0.99,1,38,7,266,374.9
S00599,3,1,3.63,J0599,London,177,79.65,0.63,1,30,10,300,379.65
S00600,11,0,4.87,J0600,Liverpool,225,101.25,0.7,5,34,4,136,237.25
S00601,19,0,3.41,J0601,Newcastle,123,55.35,0.95,3,31,7,217,272.35
S00602,9,4,1.31,J0602,Newcastle,187,84.15,0.5,1,22,6,132,216.15
S00603,10,1,1.3,J0603,Birmingham,292,131.4,0.52,1,36,11,396,527.4
S00604,2,2,4.81,J0604,Sheffield,86,38.7,0.8,4,22,6,132,170.7
S00605,1,4,2.19,J0605,Bristol,215,96.75,0.95,4,38,11,418,514.75
S00606,16,2,1.37,J0606,Glasgow,154,69.3,0.62,1,39,10,390,459.3
S00607,18,1,3.4,J0607,Nottingham,41,18.45,0.73,5,23,4,92,110.45
S00608,17,0,3.49,J0608,Newcastle,63,28.35,0.73,1,22,11,242,270.35
S00609,6,3,3.59,J0609,Nottingham,135,60.75,0.74,2,35,11,385,445.75
S00610,14,3,2.07,J0610,Liverpool,206,92.7,0.81,3,31,7,217,309.7
S00611,15,1,1.06,J0611,Nottingham,247,111.15,0.73,5,27,7,189,300.15
S00612,14,3,4.86,J0612,Glasgow,39,17.55,0.72,2,43,4,172,189.55
S00613,3,2,2.0,J0613,Leeds,97,43.65,0.74,5,36,7,252,295.65
S00614,19,3,3.7,J0614,Glasgow,211,94.95,0.8,2,26,9,234,328.95
S00615,12,1,3.83,J0615,Nottingham,217,97.65,0.77,3,30,4,120,217.65
S00616,2,1,3.44,J0616,Glasgow,163,73.35,0.93,3,37,5,185,258.35
S00617,3,2,2.25,J0617,Manchester,28,12.6,0.52,4,20,11,220,232.6
S00618,18,3,2.08,J0618,Liverpool,297,133.65,0.92,2,22,6,132,265.65
S00619,1,3,3.39,J0619,Bristol,8,3.6,0.92,4,23,5,115,118.6
S00620,6,0,4.46,J0620,Leeds,224,100.8,0.64,2,32,11,352,452.8
S00621,5,4,4.79,J0621,Newcastle,24,10.8,0.73,4,25,9,225,235.8
S00622,1,1,1.42,J0622,London,156,70.2,0.72,3,33,11,363,433.2
S00623,19,0,1.62,J0623,Bristol,54,24.3,0.61,5,24,11,264,288.3
S00624,1,1,4.78,J0624,London,181,81.45,0.7,4,35,11,385,466.45
S00625,16,0,3.95,J0625,Liverpool,100,45.0,0.52,2,34,10,340,385.0
S00626,12,4,4.53,J0626,Leeds,109,49.05,0.64,2,34,9,306,355.05
S00627,8,0,1.81,J0627,Birmingham,254,114.3,0.91,3,23,8,184,298.3
S00628,16,1,3.35,J0628,Newcastle,121,54.45,0.64,2,27,8,216,270.45
S00629,1,3,3.8,J0629,Manchester,232,104.4,0.91,1,35,8,280,384.4
S00630,4,1,3.72,J0630,Birmingham,70,31.5,0.77,5,35,4,140,171.5
S00631,10,2,2.63,J0631,Liverpool,266,119.7,0.94,4,23,7,161,280.7
S00632,11,2,1.06,J0632,Bristol,299,134.55,0.79,5,32,9,288,422.55
S00633,17,2,3.33,J0633,Manchester,247,111.15,0.51,3,32,5,160,271.15
S00634,7,2,2.01,J0634,Glasgow,190,85.5,0.84,4,21,10,210,295.5
S00635,12,4,2.8,J0635,Nottingham,250,112.5,0.52,4,22,5,110,222.5
S00636,7,3,4.83,J0636,Manchester,129,58.05,0.73,1,41,5,205,263.05
S00637,12,3,2.6,J0637,Liverpool,272,122.4,0.96,3,27,5,135,257.4
S00638,15,1,4.36,J0638,Sheffield,135,60.75,0.58,2,43,10,430,490.75
